id,theme_id,difficulty,statement_md,reference_solution_md,source,tags
676,matematicheskii-analiz,easy,"Вычислить интеграл: $\displaystyle \int_{0}^{\ln 2} x e^{-x} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Интегрируем по частям: $\int u dv = uv - \int v du$. Пусть $u = x$, $dv = e^{-x} dx$. Тогда $du = dx$, $v = -e^{-x}$.

$\int_{0}^{\ln 2} x e^{-x} dx = -xe^{-x} \Big|_{0}^{\ln 2} - \int_{0}^{\ln 2} -e^{-x} dx = -xe^{-x} \Big|_{0}^{\ln 2} - e^{-x} \Big|_{0}^{\ln 2} = (-(\ln 2)e^{-\ln 2} - 0) - (e^{-\ln 2} - e^0) = -(\ln 2) \cdot \frac{1}{2} - (\frac{1}{2} - 1) = -\frac{\ln 2}{2} + \frac{1}{2} = \frac{1 - \ln 2}{2} \approx \frac{1 - 0.693}{2} = \frac{0.307}{2} = 0.1535 \approx 0.154$

Ответ: 0.154",user-dataset,
677,funkcionalnyi-analiz,medium,"Пусть \(H\) — гильбертово пространство и \(\varphi\in H^*\) непрерывный функционал. Требуется установить существование единственного \(y\in H\) с \(\varphi(x)=\langle x,y\rangle\).","По теореме Рисса о представлении линейного функционала в гильбертовом пространстве, для любого непрерывного линейного функционала \(\varphi\) на гильбертовом пространстве \(H\) существует единственный элемент \(y \in H\) такой, что \(\varphi(x) = \langle x, y \rangle\) для всех \(x \in H\). Существование и единственность \(y\) гарантированы теоремой.",user-dataset,
678,matematicheskii-analiz,easy,"Вычисли $ \displaystyle \int_1^2 (x^2+1/x + 1/x^3) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","$\displaystyle \int_1^2 (x^2+1/x + 1/x^3) dx = \int_1^2 x^2 dx + \int_1^2 \frac{1}{x} dx + \int_1^2 \frac{1}{x^3} dx = \frac{x^3}{3} \Big|_1^2 + \ln|x| \Big|_1^2 + \frac{x^{-2}}{-2} \Big|_1^2 = (\frac{8}{3} - \frac{1}{3}) + (\ln 2 - \ln 1) + (\frac{-1}{2*4} - \frac{-1}{2}) = \frac{7}{3} + \ln 2 - \frac{1}{8} + \frac{1}{2} = \frac{7}{3} + \ln 2 + \frac{3}{8} = \frac{56+9}{24} + \ln 2 = \frac{65}{24} + \ln 2 \approx 2.708 + 0.693 = 3.401$

Ответ: 3.401",user-dataset,
679,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow 0}(\sqrt{1+x}-\sqrt{1-x})/(\sqrt[3]{1+x}-\sqrt[3]{1-x})$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Умножим числитель и знаменатель на сопряженные выражения. 

$\displaystyle \lim_{x \rightarrow 0} \frac{\sqrt{1+x}-\sqrt{1-x}}{\sqrt[3]{1+x}-\sqrt[3]{1-x}} = \lim_{x \rightarrow 0} \frac{(\sqrt{1+x}-\sqrt{1-x})(\sqrt{1+x}+\sqrt{1-x})(\sqrt[3]{(1+x)^2} + \sqrt[3]{1-x^2} + \sqrt[3]{(1-x)^2})}{(\sqrt[3]{1+x}-\sqrt[3]{1-x})(\sqrt[3]{(1+x)^2} + \sqrt[3]{1-x^2} + \sqrt[3]{(1-x)^2})(\sqrt{1+x}+\sqrt{1-x})} = \lim_{x \rightarrow 0} \frac{(1+x - (1-x))(\sqrt[3]{(1+x)^2} + \sqrt[3]{1-x^2} + \sqrt[3]{(1-x)^2})}{(1+x - (1-x))(\sqrt{1+x}+\sqrt{1-x})} = \lim_{x \rightarrow 0} \frac{2x(\sqrt[3]{(1+x)^2} + \sqrt[3]{1-x^2} + \sqrt[3]{(1-x)^2})}{2x(\sqrt{1+x}+\sqrt{1-x})} = \lim_{x \rightarrow 0} \frac{\sqrt[3]{(1+x)^2} + \sqrt[3]{1-x^2} + \sqrt[3]{(1-x)^2}}{\sqrt{1+x}+\sqrt{1-x}} = \frac{1+1+1}{1+1} = \frac{3}{2} = 1.5$

Ответ: 1.500",user-dataset,
680,lineinaya-algebra,medium,"Докажите: если матрица A нильпотентна, то tr A=0.","Пусть A - нильпотентная матрица. Тогда существует такое k, что A^k = 0. Следовательно, все собственные значения матрицы A равны 0. Так как след матрицы равен сумме ее собственных значений, то tr A = 0.",user-dataset,
681,nan,medium,"Решите уравнение $2 \sin \frac{\pi x}{2} - 2 \cos \pi x = x^5 + 10x - 54$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
682,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow \infty}\sqrt[3]{x^3+x^2+1}-\sqrt[3]{x^3-x^2+1}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Пусть $a = \sqrt[3]{x^3+x^2+1}$ и $b = \sqrt[3]{x^3-x^2+1}$. Тогда

$a - b = \frac{a^3 - b^3}{a^2 + ab + b^2} = \frac{(x^3+x^2+1) - (x^3-x^2+1)}{(\sqrt[3]{x^3+x^2+1})^2 + \sqrt[3]{x^3+x^2+1}\sqrt[3]{x^3-x^2+1} + (\sqrt[3]{x^3-x^2+1})^2} = \frac{2x^2}{(\sqrt[3]{x^3+x^2+1})^2 + \sqrt[3]{(x^3+x^2+1)(x^3-x^2+1)} + (\sqrt[3]{x^3-x^2+1})^2}$.

Разделим числитель и знаменатель на $x^2$:

$\frac{2}{(\sqrt[3]{1+\frac{1}{x}+\frac{1}{x^3}})^2 + \sqrt[3]{(1+\frac{1}{x}+\frac{1}{x^3})(1-\frac{1}{x}+\frac{1}{x^3})} + (\sqrt[3]{1-\frac{1}{x}+\frac{1}{x^3}})^2}$.

При $x \rightarrow \infty$ получаем:

$\frac{2}{1+1+1} = \frac{2}{3} \approx 0.667$.

Ответ: 0.667",user-dataset,
683,matematicheskii-analiz,hard,"Пусть \(f\) выпукла на интервале. Требуется установить, что \(f'\) существует почти всюду и неубывает там, где определена.","Доказательство существования и неубывания производной выпуклой функции является классическим результатом. Существование почти всюду следует из теоремы Лебега о дифференцируемости монотонных функций. Неубывание производной следует из выпуклости функции и определения производной как предела разностного отношения. f' неубывает там, где определена.",user-dataset,
684,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow 3}(\sqrt{x+13}-2\sqrt{x+1})/(x^2-9)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Умножим числитель и знаменатель на сопряженное выражение \(\sqrt{x+13}+2\sqrt{x+1}\). Получим \(\frac{x+13-4(x+1)}{(x^2-9)(\sqrt{x+13}+2\sqrt{x+1})} = \frac{-3x+9}{(x-3)(x+3)(\sqrt{x+13}+2\sqrt{x+1})} = \frac{-3(x-3)}{(x-3)(x+3)(\sqrt{x+13}+2\sqrt{x+1})} = \frac{-3}{(x+3)(\sqrt{x+13}+2\sqrt{x+1})}\). 

Теперь можно подставить \(x=3\): \(\frac{-3}{(3+3)(\sqrt{3+13}+2\sqrt{3+1})} = \frac{-3}{6(4+4)} = \frac{-3}{6 \cdot 8} = \frac{-1}{16} = -0.0625\). Округляем до 3 знаков после запятой: -0.063.

Ответ: -0.063",user-dataset,
685,nan,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow \infty} ((x^2-1)/(x^2+1))^{(x-1)/(x+1)} $. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
686,nan,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow +\infty} \sin{\sqrt{x+1}} - \sin{\sqrt{x}}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
687,lineinaya-algebra,medium,"Докажите: если оператор диагонализируем, то его минимальный многочлен не имеет кратных корней.","Пусть оператор A диагонализируем. Тогда существует базис из собственных векторов. Пусть m(x) - минимальный многочлен оператора A. Тогда m(A) = 0. Пусть m(x) имеет кратный корень λ, то есть m(x) = (x - λ)^2 * q(x) для некоторого многочлена q(x). Тогда (A - λI)^2 * q(A) = 0. Но так как A диагонализируем, то (A - λI)v = 0 для некоторого собственного вектора v, соответствующего собственному значению λ. Тогда (A - λI)^2 v = 0.  Если минимальный многочлен имеет кратные корни, то существует многочлен меньшей степени, аннулирующий оператор, что противоречит определению минимального многочлена. Следовательно, минимальный многочлен не имеет кратных корней.",user-dataset,
688,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \int_{-1}^0 (2x^2-x+7)/(x+3) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Разделим многочлен $2x^2 - x + 7$ на $x+3$ с остатком: $2x^2 - x + 7 = (x+3)(2x-7) + 28$. Тогда

$\displaystyle \int_{-1}^0 \frac{2x^2-x+7}{x+3} dx = \int_{-1}^0 (2x-7 + \frac{28}{x+3}) dx = x^2 - 7x + 28\ln|x+3| \Big|_{-1}^0 = (0 - 0 + 28\ln 3) - (1 + 7 + 28\ln 2) = 28\ln 3 - 8 - 28\ln 2 = 28\ln(3/2) - 8 \approx 28 \cdot 0.405 - 8 = 11.34 - 8 = 3.340$

Ответ: 3.340",user-dataset,
689,matematicheskii-analiz,easy,"Вычислить несобственный интеграл: $\displaystyle \int_{1}^{+\infty} \frac{dx}{x}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",$\displaystyle \int_{1}^{+\infty} \frac{dx}{x} = \lim_{b \to +\infty} \int_{1}^{b} \frac{dx}{x} = \lim_{b \to +\infty} \ln(x) \Big|_1^b = \lim_{b \to +\infty} (\ln(b) - \ln(1)) = \lim_{b \to +\infty} \ln(b) = +\infty$. Интеграл расходится.,user-dataset,
690,nan,medium,"Вычисли $ \displaystyle \lim_{n \rightarrow \infty} ((-2)^n+3^n)/((-2)^{n+1}+3^{n+1}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
691,matematicheskii-analiz,easy,"Вычисли $ \displaystyle \lim_{x \rightarrow 0} ((1+x)(1+2x)(1+3x)-1)/x$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Раскроем скобки в числителе: $(1+x)(1+2x)(1+3x) = 1 + 6x + 11x^2 + 6x^3$. Тогда $((1+x)(1+2x)(1+3x)-1)/x = (6x + 11x^2 + 6x^3)/x = 6 + 11x + 6x^2$. При $x ightarrow 0$ получаем $6 + 11(0) + 6(0)^2 = 6$. 
Ответ: 6.000",user-dataset,
692,matematicheskii-analiz,medium,"Рассмотрим \(f\in C^{n+1}([a,b])\). Требуется установить формулу Тейлора с остатком Лагранжа: \(f(x)=\sum_{k=0}^n \frac{f^{(k)}(x_0)}{k!}(x-x_0)^k+\frac{f^{(n+1)}(\xi)}{(n+1)!}(x-x_0)^{n+1}\).","Формула Тейлора с остатком Лагранжа устанавливает представление функции f(x) в виде суммы, состоящей из значений производных функции в точке x_0 и остаточного члена, зависящего от (n+1)-ой производной в некоторой точке ξ между x_0 и x. Формула приведена в условии задачи: \(f(x)=\sum_{k=0}^n \frac{f^{(k)}(x_0)}{k!}(x-x_0)^k+\frac{f^{(n+1)}(\xi)}{(n+1)!}(x-x_0)^{n+1}\).",user-dataset,
693,veroyatnost,medium,"Найти вероятность, что четырехзначный номер автомобиля имеет две пары одинаковых цифр. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Всего четырехзначных номеров 9 * 10 * 10 * 10 = 9000 (первая цифра не 0). 
Число номеров с двумя парами одинаковых цифр: выбираем две цифры из 10 способами C(10, 2) = 45. 
Вероятность = 45 / 9000 = 0.005.
Ответ: 0.005",user-dataset,
694,teoriya-chisel,medium,"Найди сумму всех целых оснований $ b > 9, $ для которых $ 17_b $ является делителем $ 97_b.$Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Представим числа в десятичной системе счисления: $17_b = 1*b + 7 = b+7$ и $97_b = 9*b + 7 = 9b+7$. По условию, $b+7$ является делителем $9b+7$. Тогда $9b+7 = k(b+7)$ для некоторого целого $k$. Выразим $9b+7$ через $b+7$: $9b+7 = 9(b+7) - 63 + 7 = 9(b+7) - 56$. Так как $b+7$ делит $9b+7$ и $9(b+7)$, то $b+7$ должно делить 56. Делители 56: 1, 2, 4, 7, 8, 14, 28, 56. Тогда $b+7$ может принимать значения 8, 14, 28, 56 (так как $b>9$, то $b+7 > 16$). Соответственно, $b$ может принимать значения 1, 7, 21, 49. Но $b>9$, поэтому $b$ может быть равно 21 или 49. Сумма всех возможных значений $b$ равна $21+49 = 70$. 
Ответ: 70.000",user-dataset,
695,algebra,medium,"Найдите рациональные корни многочлена: $x^5 - 2x^4 - 4x^3 + 4x^2 - 5x + 6$. Ответы запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой, по возрастанию.","По теореме о рациональных корнях, рациональные корни многочлена являются делителями свободного члена (6), деленными на делители старшего коэффициента (1). Возможные рациональные корни: ±1, ±2, ±3, ±6. Проверяем: 

x = -2: (-2)^5 - 2(-2)^4 - 4(-2)^3 + 4(-2)^2 - 5(-2) + 6 = -32 - 32 + 32 + 16 + 10 + 6 = 0. Значит, x = -2 - корень.

x = 1: 1 - 2 - 4 + 4 - 5 + 6 = 0. Значит, x = 1 - корень.

x = 3: 3^5 - 2*3^4 - 4*3^3 + 4*3^2 - 5*3 + 6 = 243 - 162 - 108 + 36 - 15 + 6 = 0. Значит, x = 3 - корень.

Разделим многочлен на (x+2)(x-1)(x-3) = (x+2)(x^2 - 4x + 3) = x^3 - 2x^2 - 5x + 6. Получим x^2 + 0x + 1 = x^2 + 1. Корни x^2 + 1 = 0 - комплексные.

Ответ: -2.000, 1.000, 3.000",user-dataset,
696,matematicheskii-analiz,easy,"Вычислить $\displaystyle \lim_{n \to \infty} \frac{\cos (n^2 - 1)}{2^n}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Так как $-1 \le \cos(n^2 - 1) \le 1$, то
$$-\frac{1}{2^n} \le \frac{\cos(n^2 - 1)}{2^n} \le \frac{1}{2^n}.$$ 
Поскольку $\lim_{n \to \infty} \frac{1}{2^n} = 0$ и $\lim_{n \to \infty} -\frac{1}{2^n} = 0$, по теореме о сжатой последовательности, $\lim_{n \to \infty} \frac{\cos(n^2 - 1)}{2^n} = 0$.

Ответ: 0.000",user-dataset,
697,matematicheskii-analiz,hard,Докажите теорему Арцела–Асколи: на компакте \(K\) любая равномерно ограниченная и равностепенно непрерывная семейство \(\mathcal{F}\) относительно \(\|\cdot\|_\infty\) предкомпактно.,"Доказательство теоремы Арцела–Асколи требует использования критерия предкомпактности в пространстве непрерывных функций.  Оно включает в себя построение конечной \(\epsilon\)-сети для семейства \(\mathcal{F}\) на компакте \(K\) с использованием равномерной ограниченности и равностепенной непрерывности.  Доказательство опирается на выбор конечного числа точек в \(K\) и аппроксимацию функций из \(\mathcal{F}\) кусочно-постоянными функциями, значения которых определяются значениями в выбранных точках.  Из компактности \(K\) следует существование конечной \(\epsilon\)-сети.  

Итоговый ответ: Семейство \(\mathcal{F}\) предкомпактно.",user-dataset,
698,topologiya,medium,Докажите: непрерывная биекция между компактами имеет непрерывную обратную.,"Пусть f: K1 -> K2 - непрерывная биекция между компактами K1 и K2. Нужно доказать, что f^{-1} непрерывна. Эквивалентно, нужно доказать, что для любого замкнутого множества F в K1, множество (f^{-1})^{-1}(F) = f(F) замкнуто в K2. Так как F замкнуто в компакте K1, то F компактно. Поскольку f непрерывна, то f(F) компактно в K2. А так как K2 хаусдорфово, то f(F) замкнуто. Следовательно, f^{-1} непрерывна.",user-dataset,
699,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow 0}(\sqrt{1+x}-\sqrt{1-x})/(\sqrt[3]{1+x}-\sqrt[3]{1-x})$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Умножим числитель и знаменатель на сопряженные выражения. 

$\displaystyle \lim_{x \rightarrow 0} \frac{\sqrt{1+x}-\sqrt{1-x}}{\sqrt[3]{1+x}-\sqrt[3]{1-x}} = \lim_{x \rightarrow 0} \frac{(\sqrt{1+x}-\sqrt{1-x})(\sqrt{1+x}+\sqrt{1-x})(\sqrt[3]{(1+x)^2} + \sqrt[3]{1+x}\sqrt[3]{1-x} + \sqrt[3]{(1-x)^2})}{(\sqrt[3]{1+x}-\sqrt[3]{1-x})(\sqrt[3]{(1+x)^2} + \sqrt[3]{1+x}\sqrt[3]{1-x} + \sqrt[3]{(1-x)^2})(\sqrt{1+x}+\sqrt{1-x})} = \lim_{x \rightarrow 0} \frac{(1+x - (1-x))(\sqrt[3]{(1+x)^2} + \sqrt[3]{1+x}\sqrt[3]{1-x} + \sqrt[3]{(1-x)^2})}{(1+x - (1-x))(\sqrt{1+x}+\sqrt{1-x})} = \lim_{x \rightarrow 0} \frac{2x(\sqrt[3]{(1+x)^2} + \sqrt[3]{1+x}\sqrt[3]{1-x} + \sqrt[3]{(1-x)^2})}{2x(\sqrt{1+x}+\sqrt{1-x})} = \lim_{x \rightarrow 0} \frac{\sqrt[3]{(1+x)^2} + \sqrt[3]{1+x}\sqrt[3]{1-x} + \sqrt[3]{(1-x)^2}}{\sqrt{1+x}+\sqrt{1-x}} = \frac{1+1+1}{1+1} = \frac{3}{2} = 1.5$

Ответ: 1.500",user-dataset,
700,matematicheskii-analiz,medium,"Пусть \(\{f_n\}\subset C^1([a,b])\) и \(f_n\to f\) равномерно, \(f_n'\to g\) равномерно. Требуется установить дифференцируемость \(f\) и \(f'=g\).","Пусть \(x_0 \in [a, b]\). Тогда \(f_n(x) = f_n(x_0) + \int_{x_0}^x f_n'(t) dt\). Переходя к пределу при \(n \to \infty\), получаем \(f(x) = f(x_0) + \int_{x_0}^x g(t) dt\). Так как \(g\) непрерывна, то по основной теореме анализа \(f'(x) = g(x)\).",user-dataset,
701,topologiya,medium,Докажите: непрерывная биекция между компактами имеет непрерывную обратную.,"Пусть f: K1 -> K2 - непрерывная биекция между компактами K1 и K2. Нужно доказать, что f^{-1} непрерывна. Эквивалентно, нужно доказать, что для любого замкнутого множества F в K1, множество (f^{-1})^{-1}(F) = f(F) замкнуто в K2. Так как F замкнуто в компакте K1, то F компактно. Поскольку f непрерывна, то f(F) компактно в K2. А так как K2 компакт, то любое компактное подмножество в нем замкнуто. Следовательно, f(F) замкнуто в K2, что и требовалось доказать.",user-dataset,
702,matematicheskii-analiz,medium,"Пусть \(\{f_n\}\subset C^1([a,b])\) и \(f_n\to f\) равномерно, \(f_n'\to g\) равномерно. Требуется установить дифференцируемость \(f\) и \(f'=g\).","Пусть \(x_0 \in [a, b]\). По основной теореме анализа, \(f_n(x) = f_n(x_0) + \int_{x_0}^x f_n'(t) dt\). Переходя к пределу при \(n \to \infty\), получаем \(f(x) = f(x_0) + \int_{x_0}^x g(t) dt\). Так как \(g\) непрерывна, то по теореме о дифференцировании интеграла с переменным верхним пределом, \(f'(x) = g(x)\).",user-dataset,
703,matematicheskii-analiz,easy,"Вычисли $ \displaystyle \lim_{x \rightarrow 1} (x^2-1)/(2x^2-x-1)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Разложим числитель и знаменатель на множители: 
$x^2 - 1 = (x-1)(x+1)$ 
$2x^2 - x - 1 = (x-1)(2x+1)$ 
Тогда $\displaystyle \lim_{x \rightarrow 1} \frac{x^2-1}{2x^2-x-1} = \lim_{x \rightarrow 1} \frac{(x-1)(x+1)}{(x-1)(2x+1)} = \lim_{x \rightarrow 1} \frac{x+1}{2x+1} = \frac{1+1}{2(1)+1} = \frac{2}{3} \approx 0.667$
Ответ: 0.667",user-dataset,
704,veroyatnost,hard,"Докажите теорему Слуцкого: если \(X_n\Rightarrow X\) и \(Y_n\to c\) по вероятности, то \(X_n+Y_n\Rightarrow X+c\) и \(X_nY_n\Rightarrow cX\).","Доказательство теоремы Слуцкого требует использования определения сходимости по вероятности и сходимости по распределению, а также свойств непрерывных функций. 

1. Доказательство для суммы: Для любого ε > 0, P(|(X_n + Y_n) - (X + c)| > ε) ≤ P(|X_n - X| > ε/2) + P(|Y_n - c| > ε/2). Так как X_n сходится по распределению к X и Y_n сходится по вероятности к c, то оба слагаемых стремятся к 0 при n → ∞. Следовательно, X_n + Y_n сходится по распределению к X + c.

2. Доказательство для произведения: Аналогично, для любого ε > 0, P(|X_n Y_n - cX| > ε) = P(|X_n Y_n - X Y_n + X Y_n - cX| > ε) ≤ P(|Y_n(X_n - X)| > ε/2) + P(|X(Y_n - c)| > ε/2). Используя сходимость Y_n к c по вероятности и X_n к X по распределению, можно показать, что оба слагаемых стремятся к 0 при n → ∞. Следовательно, X_n Y_n сходится по распределению к cX.

Итоговый ответ: X_n+Y_n\Rightarrow X+c и X_nY_n\Rightarrow cX",user-dataset,
705,lineinaya-algebra,medium,"Докажите: если оператор диагонализируем, то его минимальный многочлен не имеет кратных корней.","Пусть оператор A диагонализируем, и его минимальный многочлен m(x) имеет кратный корень λ. Тогда m(x) = (x - λ)^2 * q(x) для некоторого многочлена q(x). Рассмотрим многочлен p(x) = (x - λ) * q(x). Тогда p(A) ≠ 0, так как m(x) - минимальный многочлен. Однако, (A - λI)p(A) = m(A) = 0. Поскольку A диагонализируем, существует базис из собственных векторов. Пусть v - собственный вектор, соответствующий собственному значению μ. Тогда (A - λI)p(A)v = (μ - λ)p(μ)v = 0. Если μ ≠ λ, то p(μ) = 0. Если μ = λ, то (A - λI)v = 0, и p(A)v = p(λ)v = 0. Таким образом, p(A)v = 0 для любого собственного вектора v. Следовательно, p(A) = 0, что противоречит тому, что m(x) - минимальный многочлен. Значит, минимальный многочлен не имеет кратных корней.",user-dataset,
706,veroyatnost,easy,"Брошено три монеты. Найти вероятность, что выпало не больше двух «гербов». Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Всего возможных исходов при бросании трех монет: 2^3 = 8.
Событие ""выпало больше двух гербов"" означает, что выпало три герба (ГГГ). Этот исход единственный.
Событие ""выпало не больше двух гербов"" является противоположным событию ""выпало больше двух гербов"".
Вероятность выпадения трех гербов: 1/8 = 0.125.
Вероятность выпадения не больше двух гербов: 1 - 1/8 = 7/8 = 0.875.
Ответ: 0.875",user-dataset,
707,lineinaya-algebra,medium,"Докажите: если A — ортонормальная матрица (A^T A=I), то |det A|=1.","Так как A — ортонормальная матрица, то A^T A = I. Тогда det(A^T A) = det(I) = 1.  Используя свойство det(AB) = det(A)det(B) и det(A^T) = det(A), получаем det(A^T)det(A) = det(A)det(A) = (det(A))^2 = 1. Следовательно, det(A) = ±1, и |det(A)| = 1.",user-dataset,
708,matematicheskii-analiz,medium,"Вычислить $\displaystyle \lim_{n \to \infty} nq^n$ при $|q| < 1$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Пусть $L = \lim_{n \to \infty} nq^n$. Так как $|q| < 1$, то можно записать $q = \frac{1}{1+x}$, где $x > 0$. Тогда $nq^n = \frac{n}{(1+x)^n}$.
Используем неравенство Бернулли: $(1+x)^n \ge 1 + nx + \frac{n(n-1)}{2}x^2$.
Тогда $0 \le \frac{n}{(1+x)^n} \le \frac{n}{1 + nx + \frac{n(n-1)}{2}x^2} = \frac{1}{\frac{1}{n} + x + \frac{(n-1)}{2}x^2}$.
При $n \to \infty$, $\frac{1}{\frac{1}{n} + x + \frac{(n-1)}{2}x^2} \to 0$.
По теореме о двух милиционерах, $\lim_{n \to \infty} nq^n = 0$.
Ответ: 0.000",user-dataset,
709,nan,medium,"Кусочно-линейная периодическая функция определена как: $f(x)=$ \begin{cases} x, \text{если } x\in [-1;1)\\ 2-x, \text{если } x \in [1;3) \end{cases} и $f(x+4) = f(x) $ для всех действительных $ x. $ График $f(x) $ имеет пилообразную форму. Парабола $ x =34y^2 $ пересекает график $f(x) $ в конечном числе точек. Сумма $ y-$координат этих точек пересечения может быть выражена в виде $ \dfrac{a+b\sqrt{c}}{d}, $ где $a,b,c,d - $ положительные целые числа, $a,b,d $ взаимно просты, а $ c $ не делится на квадрат любого просто числа. Найди $ a+b+c+d.$Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
710,matematicheskii-analiz,medium,"Вычислить интеграл: $\displaystyle \int_{0}^{12} \frac{x}{\sqrt{2x+1}} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Сделаем замену $u = 2x+1$, тогда $x = (u-1)/2$ и $dx = du/2$. Пределы интегрирования изменятся: $x=0 \Rightarrow u=1$ и $x=12 \Rightarrow u=25$. Тогда интеграл примет вид:

$\displaystyle \int_{1}^{25} \frac{(u-1)/2}{\sqrt{u}} \frac{du}{2} = \frac{1}{4} \int_{1}^{25} (u^{1/2} - u^{-1/2}) du = \frac{1}{4} [\frac{2}{3}u^{3/2} - 2u^{1/2}]_1^{25} = \frac{1}{4} [(\frac{2}{3} \cdot 125 - 2 \cdot 5) - (\frac{2}{3} - 2)] = \frac{1}{4} [\frac{250}{3} - 10 - \frac{2}{3} + 2] = \frac{1}{4} [\frac{248}{3} - 8] = \frac{1}{4} \cdot \frac{248 - 24}{3} = \frac{1}{4} \cdot \frac{224}{3} = \frac{56}{3} \approx 18.667$

Ответ: 18.667",user-dataset,
711,lineinaya-algebra,medium,"Решить матричное уравнение: \[ X \begin{pmatrix} 3 & -2 \\ 5 & -4 \end{pmatrix} = \begin{pmatrix} -1 & 2 \\ -5 & 6 \end{pmatrix} \] Ответ запиши в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}, $ округлив по правилам математического округления до 3 знаков после запятой.","Пусть $A = \begin{pmatrix} 3 & -2 \\ 5 & -4 \end{pmatrix}$ и $B = \begin{pmatrix} -1 & 2 \\ -5 & 6 \end{pmatrix}$. Тогда уравнение имеет вид $XA = B$, откуда $X = BA^{-1}$.

Найдем $A^{-1}$: $A^{-1} = \frac{1}{(3)(-4) - (-2)(5)} \begin{pmatrix} -4 & 2 \\ -5 & 3 \end{pmatrix} = \frac{1}{-2} \begin{pmatrix} -4 & 2 \\ -5 & 3 \end{pmatrix} = \begin{pmatrix} 2 & -1 \\ 2.5 & -1.5 \end{pmatrix}$.

Тогда $X = BA^{-1} = \begin{pmatrix} -1 & 2 \\ -5 & 6 \end{pmatrix} \begin{pmatrix} 2 & -1 \\ 2.5 & -1.5 \end{pmatrix} = \begin{pmatrix} -1(2) + 2(2.5) & -1(-1) + 2(-1.5) \\ -5(2) + 6(2.5) & -5(-1) + 6(-1.5) \end{pmatrix} = \begin{pmatrix} 3 & -2 \\ 5 & -4 \end{pmatrix}$.

Ответ: 3; -2; 5; -4",user-dataset,
712,matematicheskii-analiz,medium,"Пусть \(f\) дифференцируема на \((a,b)\). Требуется установить свойство Дарбу для \(f'\): оно принимает все промежуточные значения.","Пусть \(x_1, x_2 \in (a, b)\) и \(f'(x_1) = A, f'(x_2) = B\), где \(A < B\). Требуется доказать, что для любого \(C \in (A, B)\) существует \(x_0 \in (a, b)\) такое, что \(f'(x_0) = C\).
Рассмотрим функцию \(g(x) = f(x) - Cx\). Она дифференцируема на \((a, b)\). Пусть для определенности \(x_1 < x_2\). Тогда \(g'(x_1) = f'(x_1) - C = A - C < 0\) и \(g'(x_2) = f'(x_2) - C = B - C > 0\).
Функция \(g(x)\) достигает минимума на отрезке \([x_1, x_2]\) в некоторой точке \(x_0 \in (x_1, x_2)\). В этой точке \(g'(x_0) = 0\), то есть \(f'(x_0) - C = 0\), следовательно, \(f'(x_0) = C\).
Свойство Дарбу доказано.",user-dataset,
