task,Название,Краткая формулировка,Тема,Уровень сложности
Докажите: непрерывная биекция между компактами имеет непрерывную обратную.,Непрерывность обратной функции для биекции на компактах,"Доказать, что непрерывная биекция между компактами имеет непрерывную обратную.",Мат. анализ,средний
"Вычислить несобственный интеграл: $\displaystyle \int_{-\infty}^{+\infty} \frac{dx}{1+x^2}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление несобственного интеграла,Вычислить несобственный интеграл от функции 1/(1+x^2) от минус бесконечности до плюс бесконечности.,Мат. анализ,легкий
"Докажите неравенство Сильвестра: если \(A\in\mathbb{F}^{m\times n}\), \(B\in\mathbb{F}^{n\times p}\), то \(\operatorname{rank}(AB)\ge \operatorname{rank}A+\operatorname{rank}B-n\).",Неравенство Сильвестра для рангов матриц,"Доказать, что ранг произведения матриц A и B не меньше суммы рангов A и B минус n.",Линал и геометрия,средний
Докажите теорему Арцела–Асколи: на компакте \(K\) любая равномерно ограниченная и равностепенно непрерывная семейство \(\mathcal{F}\) относительно \(\|\cdot\|_\infty\) предкомпактно.,Теорема Арцела–Асколи,"Доказать, что на компакте K любое равномерно ограниченное и равностепенно непрерывное семейство функций предкомпактно.",функ. анализ,сложный
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{3^n + 2^n}{5^n - 2^n + 1}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения степенных функций,Вычислить предел $\lim_{n \to \infty} \frac{3^n + 2^n}{5^n - 2^n + 1}$.,Мат. анализ,легкий
Пусть \(A\in M_{m\times n}(\mathbb{R})\). Требуется обосновать равенство \( \mathcal{N}(A) = \mathcal{R}(A^T)^\perp\).,Ядро матрицы и ортогональное дополнение образа транспонированной матрицы,Обосновать равенство ядра матрицы и ортогонального дополнения образа транспонированной матрицы.,Линал и геометрия,средний
"Решите уравнение $2 \sin \frac{\pi x}{2} - 2 \cos \pi x = x^5 + 10x - 54$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Решение тригонометрического уравнения с многочленом,Решить уравнение $2 \sin \frac{\pi x}{2} - 2 \cos \pi x = x^5 + 10x - 54$.,Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \left(\frac{3n + 1}{4n + 5}\right)^n$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности со степенью,Вычислить предел последовательности $\left(\frac{3n + 1}{4n + 5}\right)^n$ при $n \to \infty$.,Мат. анализ,средний
"Решите уравнение $2 \sin \frac{\pi x}{2} - 2 \cos \pi x = x^5 + 10x - 54$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Решение трансцендентного уравнения,Решить трансцендентное уравнение $2 \sin \frac{\pi x}{2} - 2 \cos \pi x = x^5 + 10x - 54$.,Мат. анализ,сложный
"Пусть \(\{f_n\}\subset C^1([a,b])\) и \(f_n\to f\) равномерно, \(f_n'\to g\) равномерно. Требуется установить дифференцируемость \(f\) и \(f'=g\).",Равномерная сходимость последовательности функций и их производных,Доказать дифференцируемость предельной функции и равенство ее производной пределу производных при равномерной сходимости.,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow \pi/3}\sin(x-\pi/3)/(1-2\cos x)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции $\sin(x-\pi/3)/(1-2\cos x)$ при $x \rightarrow \pi/3$.,Мат. анализ,средний
"Пусть \(\{f_n\}\subset C^1([a,b])\) и \(f_n\to f\) равномерно, \(f_n'\to g\) равномерно. Требуется установить дифференцируемость \(f\) и \(f'=g\).",Равномерная сходимость производных,Доказать дифференцируемость функции и равенство производной пределу производных при равномерной сходимости.,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow 0}(\sqrt[3]{8+3x-x^2}-2)/(x+x^2)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Найти предел функции при x стремящемся к 0.,Мат. анализ,средний
"Пусть \(A\in M_n(\mathbb{F})\) диагонализуема с собственными значениями \(\lambda_i\). Требуется установить, что \(\det A=\prod_i \lambda_i\) и \(\mathrm{tr}\,A=\sum_i \lambda_i\).",Связь определителя и следа с собственными значениями,"Доказать, что для диагонализуемой матрицы определитель равен произведению собственных значений, а след — их сумме.",Линал и геометрия,средний
"Вычислить несобственный интеграл: $\displaystyle \int_{-\infty}^{+\infty} xe^{-x^2} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление несобственного интеграла,Вычислить несобственный интеграл от функции xe^(-x^2) от минус бесконечности до плюс бесконечности.,Мат. анализ,легкий
"Докажите критерий Лебега интегрируемости по Риману: ограниченная \(f\) на \([a,b]\) риманова интегрируема \(\Leftrightarrow\) множество разрывов \(D_f\) имеет меру Лебега \(0\).",Критерий Лебега интегрируемости по Риману,"Доказать, что ограниченная функция интегрируема по Риману тогда и только тогда, когда множество её разрывов имеет меру Лебега нуль.",Мат. анализ,сложный
"Вычисли $ \displaystyle \int_0^1 \sqrt{\tan^2(x)+2\tan(x)+2}dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла с тангенсом,Вычислить определённый интеграл от корня из квадратного трёхчлена с тангенсом.,Мат. анализ,средний
"Вычислить несобственный интеграл: $\displaystyle \int_{1}^{+\infty} \frac{dx}{x^2}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление несобственного интеграла от 1/x^2,Вычислить несобственный интеграл от функции 1/x^2 на интервале от 1 до бесконечности.,Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow 1} (x^{100}-2x+1)/(x^{50}-2x+1)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции при x стремящемся к 1.,Мат. анализ,средний
"Парабола с уравнением $ y=x^2-4 $ поворачивается на $ 60^{\circ} $ против часовой стрелки вокруг начала координат. Единственная точка в четвертом квадранте, где исходная парабола и ее образ пересекаются, имеет координату $ y, $ равную $ \dfrac{a-\sqrt{b}}{c}, $ где $ a,b,c- $ положительные целые числа, и $ a $ и $ c $ взаимно просты. Найди $ a+b+c.$Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Пересечение параболы и ее образа после поворота,Найти y-координату точки пересечения параболы и ее образа после поворота на 60 градусов,Линал и геометрия,сложный
"Вычисли $ \displaystyle \lim_{x \rightarrow 8}(\sqrt{9+2x}-5)/(\sqrt[3]{x}-2)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Найти предел функции при x стремящемся к 8.,Мат. анализ,средний
"Докажите: если оператор диагонализируем, то его минимальный многочлен не имеет кратных корней.",Минимальный многочлен диагонализируемого оператора,"Доказать, что минимальный многочлен диагонализируемого оператора не имеет кратных корней.",Линал и геометрия,средний
Пусть \(\mathcal{G}\subset\mathcal{F}\) и \(X\in L^1\). Требуется установить «башенное» свойство: \(\mathbb{E}[\mathbb{E}[X\mid \mathcal{G}]]=\mathbb{E}[X]\).,Башенное свойство математического ожидания,Доказать башенное свойство математического ожидания для случайной величины X из L^1 и сигма-алгебр G и F.,Теор. вер. и статистика,средний
"Вычислить определитель: \[ \begin{vmatrix} 3 & 2 & -1 \\ 1 & 4 & 1 \\ -2 & 6 & 4 \\ \end{vmatrix} \] Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определителя матрицы 3x3,Вычислить определитель матрицы 3x3 и округлить результат.,Линал и геометрия,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow 0}(\operatorname{tg}x-\operatorname{sin}x)/\operatorname{sin}^3x$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела с тригонометрическими функциями,"Вычислить предел отношения разности тангенса и синуса к кубу синуса при x, стремящемся к нулю.",Мат. анализ,средний
"Найдите рациональные корни многочлена: $x^5 - 2x^4 - 4x^3 + 4x^2 - 5x + 6$. Ответы запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой, по возрастанию.",Нахождение рациональных корней многочлена,Найти рациональные корни многочлена $x^5 - 2x^4 - 4x^3 + 4x^2 - 5x + 6$.,Мат. анализ,средний
"Пусть \(f\in L^1([0,1])\) и \(S_N(x)=\sum_{k=-N}^N \hat f(k)e^{ikx}\). Требуется установить \(\|S_N\|_{L^1}\) ограниченность и \( \hat f(k)\to 0\).",Ограниченность норм частичных сумм ряда Фурье и стремление коэффициентов Фурье к нулю,Доказать ограниченность нормы частичных сумм ряда Фурье и стремление коэффициентов Фурье к нулю для функции из L1.,Мат. анализ,сложный
"Вычисли $ \displaystyle \lim_{x \rightarrow 3}(\sqrt{x+13}-2\sqrt{x+1})/(x^2-9)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции при x стремящемся к 3,Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} (\sqrt{n^4 + 2n^3 + 1} - \sqrt{n^4 + n^3 + 2n + 1})$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел с корнями,Вычислить предел разности квадратных корней.,Мат. анализ,средний
"Докажите интегральную форму неравенства Йенсена: при выпуклой \(\varphi\) и интегрируемой \(f\) на \([a,b]\) верно \(\varphi\!\left(\frac{1}{b-a}\int_a^b f\right)\le \frac{1}{b-a}\int_a^b \varphi\circ f\).",Интегральная форма неравенства Йенсена,Доказать интегральную форму неравенства Йенсена для выпуклой функции и интегрируемой функции.,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow 3} (x^2-5x+6)/(x^2-8x+15)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела рациональной функции,"Найти предел рациональной функции при x, стремящемся к 3.",Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{n \rightarrow \infty} 10000n/(n^2+1)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела отношения многочленов,Вычислить предел функции при n стремящемся к бесконечности.,Мат. анализ,легкий
"Докажите: если \(P\) удовлетворяет \(P^2=P\), то спектр \(P\subset\{0,1\}\).",Спектр проектора,"Доказать, что если P^2=P, то спектр P содержится в {0,1}.",Линал и геометрия,средний
"Дан линейно независимый набор \(v_1,\dots,v_k\) в евклидовом пространстве. Требуется построить ортонормированный набор \(u_1,\dots,u_k\) с \(\mathrm{span}\{u_i\}=\mathrm{span}\{v_i\}\).",Ортогонализация Грама-Шмидта,Построение ортонормированного базиса из линейно независимого набора векторов,Линал и геометрия,средний
"Кусочно-линейная периодическая функция определена как: $f(x)=$ \begin{cases} x, \text{если } x\in [-1;1)\\ 2-x, \text{если } x \in [1;3) \end{cases} и $f(x+4) = f(x) $ для всех действительных $ x. $ График $f(x) $ имеет пилообразную форму. Парабола $ x =34y^2 $ пересекает график $f(x) $ в конечном числе точек. Сумма $ y-$координат этих точек пересечения может быть выражена в виде $ \dfrac{a+b\sqrt{c}}{d}, $ где $a,b,c,d - $ положительные целые числа, $a,b,d $ взаимно просты, а $ c $ не делится на квадрат любого просто числа. Найди $ a+b+c+d.$Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Пересечение кусочно-линейной функции и параболы,Найти сумму y-координат точек пересечения кусочно-линейной периодической функции и параболы.,Мат. анализ,сложный
"Брошено три монеты. Найти вероятность, что выпало не больше двух «гербов». Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность выпадения не более двух гербов при бросании трех монет,Найти вероятность выпадения не более двух гербов при бросании трех монет.,Теор. вер. и статистика,легкий
"Вычисли $ \displaystyle \int_1^2 \left(\dfrac{\cos^8x+\sin^8x-1}{\cos^6x+\sin^6x-1}+\dfrac{2}{3}\cos^2x\sin^2x\right)dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл от тригонометрической функции.,Мат. анализ,средний
"Рассмотрим \(f\in C^{n+1}([a,b])\). Требуется установить формулу Тейлора с остатком Лагранжа: \(f(x)=\sum_{k=0}^n \frac{f^{(k)}(x_0)}{k!}(x-x_0)^k+\frac{f^{(n+1)}(\xi)}{(n+1)!}(x-x_0)^{n+1}\).",Формула Тейлора с остатком Лагранжа,Доказать формулу Тейлора с остаточным членом в форме Лагранжа для функции класса C^(n+1).,Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \left(\frac{3n + 1}{4n + 5}\right)^n$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности со степенью,Вычислить предел последовательности вида f(n)^n при n стремящемся к бесконечности.,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow \infty} ((x-1)(x-2)(x-3)(x-4)(x-5))/(5x-1)^5$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 5 знаков после запятой.",Предел рациональной функции,Вычислить предел при x стремящемся к бесконечности для заданной рациональной функции.,Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} \left(\frac{3n + 1}{4n + 5}\right)^n$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности со степенью,Вычислить предел последовательности $\left(\frac{3n + 1}{4n + 5}\right)^n$ при $n \to \infty$.,Мат. анализ,средний
Докажите мультипликативность определителя: det(AB)=det A·det B для квадратных матриц.,Мультипликативность определителя,Доказать det(AB)=det A·det B для квадратных матриц.,Линал и геометрия,средний
"Докажите теорему Слуцкого: если \(X_n\Rightarrow X\) и \(Y_n\to c\) по вероятности, то \(X_n+Y_n\Rightarrow X+c\) и \(X_nY_n\Rightarrow cX\).",Теорема Слуцкого,Доказать теорему Слуцкого о сходимости случайных величин.,Теор. вер. и статистика,средний
"Вычислить определитель: \[ \begin{vmatrix} 3 & 2 & -1 \\ 1 & 4 & 1 \\ -2 & 6 & 4 \\ \end{vmatrix} \] Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определителя матрицы 3x3,Вычислить определитель матрицы 3x3.,Линал и геометрия,легкий
"Докажите: если последовательность непрерывных функций на [a,b] равномерно сходится к f, то {∫ f_n} сходится к ∫ f.",Интегрирование равномерно сходящейся последовательности функций,"Доказать, что если последовательность непрерывных функций равномерно сходится, то последовательность их интегралов сходится к интегралу предельной функции.",Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow -1}(x^3-2x-1)/(x^5-2x-1)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела рациональной функции,"Вычислить предел рациональной функции при x, стремящемся к -1.",Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow 3}(\sqrt{x+13}-2\sqrt{x+1})/(x^2-9)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела с иррациональностями,"Вычислить предел функции с корнями при x, стремящемся к 3.",Мат. анализ,средний
"Двенадцать букв $ A,B,C,D,E,F,G,H,I,J,K,L $ случайным образом разбиваются на шесть пар. Две буквы в каждой паре ставятся рядом в алфавитном порядке, образуя шестибуквенные слова, и эти шесть слов перечисляются в алфавитном порядке. Например, $ AB, CJ,DG,EK,FL,HI. $ Вероятность того, что последнее слово в спмске содержит $ G, $ равна $ \dfrac{m}{n}, $ где $m $ и $ n - $взаимно простые положительные целые числа. Найди $ m+n.$Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Вероятность того, что последнее слово в списке содержит G","Двенадцать букв разбиваются на шесть пар. Каждая пара образует двухбуквенное слово. Шесть слов перечисляются в алфавитном порядке. Найти вероятность того, что последнее слово содержит G.",Теор. вер. и статистика,сложный
"Вычисли $ \displaystyle \lim_{x \rightarrow \pi/3}\sin(x-\pi/3)/(1-2\cos x)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции при x стремящемся к π/3,Мат. анализ,средний
"Пусть \(X\) — метрическое пространство, \(K\subset X\) компактно, \(f:K\to \mathbb{R}\) непрерывна и инъективна. Требуется установить непрерывность \(f^{-1}\).",Непрерывность обратной функции на компакте,"Доказать непрерывность обратной функции для непрерывной инъективной функции, определенной на компакте.",Мат. анализ,сложный
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{\cos (n^2 - 1)}{2^n}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения косинуса к экспоненте,Вычислить предел $\lim_{n \to \infty} \frac{\cos (n^2 - 1)}{2^n}$.,Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow -1}(x^3-2x-1)/(x^5-2x-1)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел отношения многочленов при x стремящемся к -1.,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_0^2 (2x-1)/(2x+1) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл от рациональной функции,Мат. анализ,легкий
Докажите теорему Арцела–Асколи: на компакте \(K\) любая равномерно ограниченная и равностепенно непрерывная семейство \(\mathcal{F}\) относительно \(\|\cdot\|_\infty\) предкомпактно.,Теорема Арцела–Асколи,Доказательство теоремы Арцела–Асколи о предкомпактности семейств функций.,функ. анализ,сложный
"Пусть \(X_1,\dots,X_n\) и матрица дизайна \(X\) полного столбцового ранга. Требуется установить существование и форму МНК-оценки \(\hat\beta=(X^TX)^{-1}X^Ty\) как решения условия ортогональности остатков.",Существование и форма МНК-оценки,Доказать существование и вывести формулу МНК-оценки как решения условия ортогональности остатков.,Теор. вер. и статистика,средний
"Вычислить интеграл: $\displaystyle \int_{-1/2}^{1/2} \frac{dx}{\sqrt{1 - x^2}}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл от функции 1/sqrt(1-x^2) в заданных пределах.,Мат. анализ,легкий
Докажите: непрерывная биекция между компактами имеет непрерывную обратную.,Непрерывность обратной функции для биекции на компактах,"Доказать, что непрерывная биекция между компактами имеет непрерывную обратную.",Мат. анализ,средний
"Из букв А, А, М, М наугад составляют слово. Найти вероятность получить ""МАМА"". Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность составить слово из заданных букв,"Найти вероятность составить слово 'МАМА' из букв А, А, М, М.",Теор. вер. и статистика,легкий
"Найдите сумму ряда: $\displaystyle \frac{1}{1 \cdot 2} + \frac{1}{2 \cdot 3} + \frac{1}{3 \cdot 4} + \frac{1}{4 \cdot 5} + \ldots$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Сумма телескопического ряда,Найти сумму ряда $\sum_{n=1}^{\infty} \frac{1}{n(n+1)}$,Мат. анализ,легкий
"Докажите: если последовательность непрерывных функций на [a,b] равномерно сходится к f, то {∫ f_n} сходится к ∫ f.",Интегрирование равномерно сходящейся последовательности функций,"Доказать, что предел интегралов равен интегралу предела для равномерно сходящейся последовательности непрерывных функций.",Мат. анализ,средний
Пусть \(f_n\searrow f\) непрерывны на компакте \(K\) и \(f\) непрерывна. Требуется показать равномерную сходимость \(f_n\to f\) (теорема Дини).,Теорема Дини,"Доказать равномерную сходимость последовательности непрерывных функций на компакте, сходящейся поточечно к непрерывной функции.",Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \left(\frac{3n + 1}{4n + 5}\right)^n$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности с показателем n,Вычислить предел вида (P(n)/Q(n))^n при n стремящемся к бесконечности.,Мат. анализ,средний
"Двенадцать букв $ A,B,C,D,E,F,G,H,I,J,K,L $ случайным образом разбиваются на шесть пар. Две буквы в каждой паре ставятся рядом в алфавитном порядке, образуя шестибуквенные слова, и эти шесть слов перечисляются в алфавитном порядке. Например, $ AB, CJ,DG,EK,FL,HI. $ Вероятность того, что последнее слово в спмске содержит $ G, $ равна $ \dfrac{m}{n}, $ где $m $ и $ n - $взаимно простые положительные целые числа. Найди $ m+n.$Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность наличия буквы G в последнем слове,"Двенадцать букв случайным образом разбиваются на шесть пар. Каждая пара образует двухбуквенное слово. Эти шесть слов перечисляются в алфавитном порядке. Найти вероятность того, что последнее слово содержит G.",Теор. вер. и статистика,сложный
"Пусть $ N - $ количество троек натуральных чисел $ (a,b,c) $ таких, что $a,b,c \leq 3^6 $ и $ a^3+b^3+c^3 $ делится на $ 3^7. $ Найди остаток от деления $ N $ на 1000.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Количество троек чисел, удовлетворяющих условию делимости","Найти количество троек натуральных чисел (a,b,c) таких, что a,b,c <= 3^6 и a^3+b^3+c^3 делится на 3^7, и найти остаток от деления этого количества на 1000.",теория чисел,сложный
"Вычисли $ \displaystyle \lim_{x \rightarrow -2}(\sqrt[3]{x-6}+2)/(x^3+8)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции при x стремящемся к -2.,Мат. анализ,средний
"Вычисли $ \displaystyle \int_0^2 (2x-1)/(2x+1) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл от рациональной функции,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_0^2 (2x-1)/(2x+1) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл от рациональной функции.,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_0^{0.9} \dfrac{x\arcsin(x)}{\sqrt{1-x^2}}dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла с арксинусом,Вычислить определенный интеграл от функции с арксинусом.,Мат. анализ,средний
"Пусть \(H\) — гильбертово пространство и \(\varphi\in H^*\) непрерывный функционал. Требуется установить существование единственного \(y\in H\) с \(\varphi(x)=\langle x,y\rangle\).",Теорема Рисса о представлении функционала,"Доказать существование и единственность элемента y в гильбертовом пространстве H, такого что непрерывный функционал φ может быть представлен как скалярное произведение с y.",функ. анализ,сложный
"Вычисли $ \displaystyle \int_1^2 \left(\dfrac{x^4}{x^6+1}\right)^2dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл от рациональной функции.,Мат. анализ,средний
Докажите: непрерывная биекция между компактами имеет непрерывную обратную.,Непрерывность обратной функции для биекции на компактах,"Доказать, что непрерывная биекция между компактами имеет непрерывную обратную.",Мат. анализ,средний
Докажите: непрерывная биекция между компактами имеет непрерывную обратную.,Непрерывность обратной функции для биекции между компактами,"Доказать, что непрерывная биекция между компактами имеет непрерывную обратную.",Мат. анализ,средний
"Докажите теорему Слуцкого: если \(X_n\Rightarrow X\) и \(Y_n\to c\) по вероятности, то \(X_n+Y_n\Rightarrow X+c\) и \(X_nY_n\Rightarrow cX\).",Теорема Слуцкого,Доказать теорему Слуцкого о сходимости случайных величин.,Теор. вер. и статистика,сложный
"Вычислить интеграл: $\displaystyle \int_{0}^{\ln 2} x e^{-x} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл функции xe^(-x) от 0 до ln(2).,Мат. анализ,легкий
"Пусть \(H\) — гильбертово пространство и \(\varphi\in H^*\) непрерывный функционал. Требуется установить существование единственного \(y\in H\) с \(\varphi(x)=\langle x,y\rangle\).",Теорема Рисса о представлении функционала,"Доказать существование и единственность элемента y в гильбертовом пространстве H, такого что непрерывный функционал φ может быть представлен как скалярное произведение с x.",функ. анализ,средний
"Вычисли $ \displaystyle \int_1^2 (x^2+1/x + 1/x^3) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл от многочлена и дробных степеней.,Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow 0}(\sqrt{1+x}-\sqrt{1-x})/(\sqrt[3]{1+x}-\sqrt[3]{1-x})$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,"Найти предел функции при x, стремящемся к 0.",Мат. анализ,средний
"Докажите: если матрица A нильпотентна, то tr A=0.",След нильпотентной матрицы,"Доказать, что след нильпотентной матрицы равен нулю.",Линал и геометрия,средний
"Решите уравнение $2 \sin \frac{\pi x}{2} - 2 \cos \pi x = x^5 + 10x - 54$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Решение трансцендентного уравнения,Решить трансцендентное уравнение вида $2 \sin \frac{\pi x}{2} - 2 \cos \pi x = x^5 + 10x - 54$.,Мат. анализ,сложный
"Вычисли $ \displaystyle \lim_{x \rightarrow \infty}\sqrt[3]{x^3+x^2+1}-\sqrt[3]{x^3-x^2+1}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел с кубическими корнями,Вычислить предел разности кубических корней.,Мат. анализ,средний
